EM02_Alarms.Gearing_Not_Working 			| Gearing is Not Working		| EM02_Alarms.Equipment_Identifier	
EM02_Alarms.Lift_Motor1_Fault 				| Lift Motor1 Fault 			| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Lift_Motor2_Fault 				| Lift Motor1 Fault 			| EM02_Alarms.Equipment_Identifier	
EM02_Alarms.Lift_Motor1_Homing_Not_Done 		| Lift Motor_1 Homing_Not_Done 		| EM02_Alarms.Equipment_Identifier	
EM02_Alarms.Lift_Motor2_Homing_Not_Done			| Lift Motor_1 Homing_Not_Done 		| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Lift_Motor1_Servo_ON_Fault 			| Lift 1 Motor 1_Servo_ON_Fault 	| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Lift_Motor2_Servo_ON_Fault 			| Lift 1 Motor 2_Servo_ON_Fault 	| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Lift_Move_FB_Error 				| Lift_Move_FB_Error 			| EM02_Alarms.Equipment_Identifier 	| EM02_Alarms.Lift_Move_FB_ErrorCode
EM02_Alarms.Lift_Moved_Before_Bot_Reach_Dest	| Lift Moved Before BOT Reached Destination 	| EM02_Alarms.Equipment_Identifier 
EM02_Alarms.Indexer_Moved_Before_Bot_Reach_Dest	| Indexer Moved Before BOT Reached Destination	| EM02_Alarms.Equipment_Identifier 
EM02_Alarms.Lift_Sequence_Locked			| Lift Sequence Locked			| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Indexer_Sequence_Locked			| Indexer Sequence Locked		| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Indexer_Fault				| Indexer_Fault				| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Indexer_Homing_Not_Done 			| Indexer_Homing_Not_Done 		| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Indexer_Servo_ON_Fault 			| Indexer_Servo_ON_Fault 		| EM02_Alarms.Equipment_Identifier	
EM02_Alarms.Link_Unlink_Sequence_Locked			| Link Unlink Sequence Locked		| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Link_FB_Eror				| Link_FB_Eror				| EM02_Alarms.Equipment_Identifier	|EM02_Alarms.Link_FB_Error_Code
EM02_Alarms.Critical_Error				| Critical_Error			| EM02_Alarms.Equipment_Identifier
EM02_Alarms.Warning					| Warning				| EM02_Alarms.Equipment_Identifier



EM03_Alarms.Gearing_Not_Working 			| Gearing is Not Working		| EM03_Alarms.Equipment_Identifier	
EM03_Alarms.Lift_Motor1_Fault 				| Lift Motor1 Fault 			| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Lift_Motor2_Fault 				| Lift Motor1 Fault 			| EM03_Alarms.Equipment_Identifier	
EM03_Alarms.Lift_Motor1_Homing_Not_Done 		| Lift Motor_1 Homing_Not_Done 		| EM03_Alarms.Equipment_Identifier	
EM03_Alarms.Lift_Motor2_Homing_Not_Done			| Lift Motor_1 Homing_Not_Done 		| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Lift_Motor1_Servo_ON_Fault 			| Lift 1 Motor 1_Servo_ON_Fault 	| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Lift_Motor2_Servo_ON_Fault 			| Lift 1 Motor 2_Servo_ON_Fault 	| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Lift_Move_FB_Error 				| Lift_Move_FB_Error 			| EM03_Alarms.Equipment_Identifier 	| EM03_Alarms.Lift_Move_FB_ErrorCode
EM03_Alarms.Lift_Moved_Before_Bot_Reach_Dest	| Lift Moved Before BOT Reached Destination 	| EM03_Alarms.Equipment_Identifier 
EM03_Alarms.Indexer_Moved_Before_Bot_Reach_Dest	| Indexer Moved Before BOT Reached Destination	| EM03_Alarms.Equipment_Identifier 
EM03_Alarms.Lift_Sequence_Locked			| Lift Sequence Locked			| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Indexer_Sequence_Locked			| Indexer Sequence Locked		| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Indexer_Fault				| Indexer_Fault				| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Indexer_Homing_Not_Done 			| Indexer_Homing_Not_Done 		| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Indexer_Servo_ON_Fault 			| Indexer_Servo_ON_Fault 		| EM03_Alarms.Equipment_Identifier	
EM03_Alarms.Link_Unlink_Sequence_Locked			| Link Unlink Sequence Locked		| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Link_FB_Eror				| Link_FB_Eror				| EM03_Alarms.Equipment_Identifier	|EM03_Alarms.Link_FB_Error_Code
EM03_Alarms.Critical_Error				| Critical_Error			| EM03_Alarms.Equipment_Identifier
EM03_Alarms.Warning					| Warning				| EM03_Alarms.Equipment_Identifier



EM10_Bot_Alarm.X_axis.Position_limit 		   	| X-Axis Position Limit			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.CCW_limit 			| X-Axis CCW limit 			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.CW_limit				| X-Axis CCW limit 			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Over_temp				| X-Axis Over Temperature		| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Excess_Regen			| X-Axis Excess Regen			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Over_voltage			| X-Axis Over Voltage			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Under_voltage			| X-Axis Under Voltage			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Over_current			| X-Axis Over Current			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Open_motor_windings		| X-Axis Open Motor Windings		| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Bad_Encoder			| X-Axis Bad Encoder			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Comm_err				| X-Axis Comm Error			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Bad_Flash				| X-Axis Bad Flash			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.No_Move				| X-Axis No Move			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.Blank_Q_Segment			| X-Axis Blank Q Segment		| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.X_axis.General_Fault			| X-Axis General Fault			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.Position_limit 		   	| Y_axis-1 Position Limit		| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.CCW_limit 			| Y_axis-1 CCW limit 			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.CW_limit			| Y_axis-1 CCW limit 			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.Over_temp			| Y_axis-1 Over Temperature		| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.Excess_Regen			| Y_axis-1 Excess Regen			| EM10_Alarms.Equipment_Identifier
EM10_Bot_Alarm.Y_axis-1.Over_voltage			| Y_axis-1 Over Voltage			| EM10_Alarms.Equipment_Identifier
